GeneSymbol	HumanGeneID	ChimpGeneID	LFC	HumanGeneExpression	ChimpGeneExpression
ITGA10	8515	457982	0.1500360667705536	0.25569942593574524	0.23044346272945404
PEX11B	8799	746256	0.15951214730739594	0.6735725998878479	0.6030682921409607
RBM8A	9939	457983	-0.3733205497264862	0.9124385118484497	1.1819096803665161
LIX1L	128077	457984	0.05667872354388237	1.3032898902893066	1.2530806064605713
ANKRD34A	284615	746348	0.024214603006839752	0.06312461942434311	0.0620739571750164
POLR3GL	84265	457985	0.7766695618629456	0.47887036204338074	0.27952271699905396
TXNIP	10628	457986	0.14600425958633423	3.759366273880005	3.3975274562835693
HJV	148738	743630	-0.011414552107453346	0.0009232866577804089	0.000930620648432523
PRKAB2	5565	457245	0.5299592614173889	0.6930055618286133	0.47995784878730774
CHD1L	9557	457247	0.08882090449333191	0.4484867751598358	0.42170804738998413
FMO5	2330	469472	-0.2696399390697479	0.008943045511841774	0.01078090351074934
BCL9	607	457248	0.021245520561933517	0.518783688545227	0.5111998915672302
LOC128071544	128071544	129137541	0.03189534321427345	0.5736688375473022	0.5611252188682556
ACP6	51205	457249	1.040808081626892	0.07461115717887878	0.036265138536691666
GJA5	2702	457250	2.555734395980835	0.21468345820903778	0.036512862890958786
GJA8	2703	469474	-2.26975679397583	0.00003933463813154958	0.00018968807125929743
NBPF11	200030	100610460	8.540470123291016	0.07425588369369507	0.00019943127699662
FCGR1A	2209	457259	2.048424005508423	0.0006613777950406075	0.00015988678205758333
H3C13	653604	115945181	-0.31132858991622925	0.3761610686779022	0.46675941348075867
H4C15	554313	112204059	6.930770397186279	0.022476771846413612	0.0001842316414695233
H3C15	333932	107966300	1.3837883472442627	0.00028382614254951477	0.0001087653508875519
H2BC21	8349	746513	0.05546350032091141	0.5892933011054993	0.5670682191848755
H2AC20	8338	457261	-0.7069036364555359	0.5006206631660461	0.8171616196632385
H2AC21	317772	746557	-0.5958981513977051	0.8534715175628662	1.2899481058120728
BOLA1	51027	457263	-0.42880958318710327	0.2018183022737503	0.2716721296310425
SV2A	9900	457264	-0.2019951045513153	0.42731910943984985	0.4915400445461273
SF3B4	10262	457265	0.38772469758987427	1.808568000793457	1.382350206375122
MTMR11	10903	457266	-1.0706160068511963	0.2731128931045532	0.573627233505249
OTUD7B	56957	749087	-0.21634428203105927	0.40536531805992126	0.4709477126598358
VPS45	11311	457267	0.1957593709230423	0.6567598581314087	0.5734257102012634
PLEKHO1	51177	457268	-0.3652423322200775	1.4003071784973145	1.8037328720092773
ANP32E	81611	746767	0.2131221741437912	0.9576822519302368	0.8261620998382568
CA14	23632	469479	0.10064566135406494	0.013230802491307259	0.01233925111591816
APH1A	51107	457270	0.01745682582259178	2.82285737991333	2.7889063358306885
C1orf54	79630	749110	0.7752512097358704	0.30521801114082336	0.17833487689495087
CIART	148523	457271	-0.007615074049681425	0.07184728980064392	0.07222753018140793
MRPS21	54460	746885	-1.0208187103271484	1.3048853874206543	2.6477038860321045
PRPF3	9129	457272	-0.28770318627357483	0.6901500821113586	0.8424630165100098
RPRD2	23248	457273	-0.02816643752157688	0.5533450245857239	0.5642544031143188
TARS2	80222	746922	-0.0399635024368763	0.5371226072311401	0.552209198474884
ECM1	1893	746939	-0.46105825901031494	1.4650040864944458	2.016653060913086
ADAMTSL4	54507	746960	-1.2733062505722046	0.34966912865638733	0.8452022671699524
MCL1	4170	457274	-0.6216835975646973	2.550361156463623	3.924163579940796
ENSA	2029	457275	-0.9955230355262756	1.0183072090148926	2.030304193496704
GOLPH3L	55204	457276	-0.20907028019428253	0.2534755766391754	0.2930033206939697
HORMAD1	84072	749140	-0.058596186339855194	0.00027600181056186557	0.00028744261362589896
CTSS	1520	457277	-1.323347806930542	0.007050670217722654	0.01764403097331524
CTSK	1513	457278	-1.2119725942611694	0.4596197307109833	1.0647282600402832
ARNT	405	457279	-1.1174345016479492	0.5080004930496216	1.1021620035171509
CTXND2	100996521	112205212	-3.236990213394165	0.000016857165974215604	0.00015893360250629485
SETDB1	9869	469481	-0.5221596360206604	0.39681318402290344	0.5698647499084473
CERS2	29956	469482	0.713723361492157	2.928352117538452	1.7855464220046997
ANXA9	8416	457280	-1.5417704582214355	0.0035313675180077553	0.010281632654368877
MINDY1	55793	469483	0.18005497753620148	0.24815455079078674	0.21903841197490692
PRUNE1	58497	749165	0.14839139580726624	0.4255869686603546	0.3839883506298065
BNIPL	149428	457281	-0.4125455617904663	0.005633573979139328	0.007498468738049269
C1orf56	54964	457282	0.1761723905801773	0.14030815660953522	0.12417945265769958
CDC42SE1	56882	749171	0.5374517440795898	1.682529330253601	1.159240484237671
MLLT11	10962	134807024	-0.602223813533783	0.8914574980735779	1.3532812595367432
GABPB2	126626	457284	0.04001089558005333	0.2025294005870819	0.1969897300004959
SEMA6C	10500	747122	-0.11075219511985779	0.2854163944721222	0.30819007754325867
LYSMD1	388695	747386	-0.8103125095367432	0.22544264793395996	0.39533427357673645
TNFAIP8L2	79626	100614116	0.604146420955658	0.001640381058678031	0.0010791418608278036
SCNM1	79005	457285	-1.4094326496124268	0.3960641622543335	1.0520758628845215
TMOD4	29765	457286	0.18813876807689667	0.011483186855912209	0.010079222731292248
VPS72	6944	749187	-0.3151583969593048	1.1455349922180176	1.4252153635025024
PIP5K1A	8394	457288	-0.7437374591827393	0.8814393281936646	1.4759774208068848
PSMD4	5710	100192399	0.1010906845331192	3.41265869140625	3.1817166805267334
ZNF687	57592	457290	-0.03836740553379059	0.49222782254219055	0.5054938793182373
PI4KB	5298	457291	0.01717236079275608	1.217563271522522	1.203156590461731
RFX5	5993	457292	-0.018761634826660156	0.638746440410614	0.6471073031425476
SELENBP1	8991	469484	-0.07026581466197968	0.3761499226093292	0.394923597574234
PSMB4	5692	457293	-0.011663936078548431	4.870471954345703	4.910008430480957
POGZ	23126	747555	0.5357630252838135	1.099788784980774	0.7586274147033691
CGN	57530	457298	0.04476363584399223	0.020981227979063988	0.020340222865343094
TUFT1	7286	747604	-0.15465524792671204	0.4824846386909485	0.5370804667472839
SNX27	81609	457299	0.012089971452951431	0.9737938642501831	0.9656674861907959
CELF3	11189	469485	-1.2932944297790527	0.001155793434008956	0.0028327004984021187
RIIAD1	284485	457300	-1.0106743574142456	0.0004186596197541803	0.0008435374475084245
MRPL9	65005	457301	0.11339642107486725	1.2236346006393433	1.1311391592025757
OAZ3	51686	469486	0.37963035702705383	0.007505708374083042	0.005769146606326103
TDRKH	11022	469487	-0.42262038588523865	0.08013999462127686	0.10741643607616425
LINGO4	339398	469488	-0.6554325222969055	0.0001023531294777058	0.00016121519729495049
RORC	6097	457303	-0.24444499611854553	0.0002864394919015467	0.00033932679798454046
C2CD4D	100191040	100609270	-0.1620681881904602	0.004776793997734785	0.005344707053154707
THEM5	284486	457304	0.008785414509475231	0.0005833487375639379	0.0005798071506433189
THEM4	117145	457305	-0.3978879153728485	0.17637577652931213	0.23238876461982727
S100A10	6281	457306	0.7163830399513245	16.914236068725586	10.294365882873535
